"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\home\Main\Intro\Tablet.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 10, 150
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\home\Main\Socials.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\home\Main\Socials\Base.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\home\Main\Socials\Full.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Footer.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Footer\Base.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Footer\Full.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Header.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Header\Base.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Header\Full.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\layout\Header\modal\Drawer.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 6, 70
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\team\Main.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\team\Main\Intro.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\team\Main\Intro\Base.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\c\team\Main\Intro\Full.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\constants.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 12, 8, 66
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\functions.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 2, 15, 97
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard\Base.js", "JavaScript", 0, 318, 0, 0, 0, 0, 0, 0, 18, 336
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard\Full.js", "JavaScript", 0, 346, 0, 0, 0, 0, 0, 2, 21, 369
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\Layout.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 2, 12, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Desktop.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 0, 14, 257
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Layout\Base.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Layout\Full.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Mobile\Footer.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Mobile\Header.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 11, 70
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Tablet.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 13, 134
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\modals\FeedFilter.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 2, 23, 288
