"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "Ignore", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\functions.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 2, 15, 97
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard\Base.js", "JavaScript", 318, 0, 0, 0, 0, 0, 0, 0, 18, 336
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\cards\PostCard\Full.js", "JavaScript", 346, 0, 0, 0, 0, 0, 0, 2, 21, 369
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\Layout.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 12, 63
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Desktop.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 0, 14, 257
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Layout\Base.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Layout\Full.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Mobile\Footer.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Mobile\Header.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 11, 70
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\layout\sections\Tablet.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 13, 134
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\modals\FeedFilter.js", "JavaScript", 263, 0, 0, 0, 0, 0, 0, 2, 23, 288
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\global\pages\Loading.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Base.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Full.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\home\Header.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\items.js", "JavaScript", 423, 0, 0, 0, 0, 0, 0, 12, 23, 458
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 4, 21, 150
"c:\Users\yeung\Documents\Founder's Club\Dreammate\landing\components\messages\MessageControl\BaseView.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 11, 129
